epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,2065.36,0.62259,0.97084,1.24464,0.77395,0.76676,0.84297,0.73284,0.69061,0.89877,1.00262,1.46306,0.008812,0.008812,0.008812
122,2082.02,0.61819,0.93841,1.2337,0.77269,0.72712,0.80754,0.6923,0.65742,0.88558,1.04989,1.4391,0.0088021,0.0088021,0.0088021
123,2098.75,0.61642,0.94454,1.24515,0.77423,0.81499,0.82688,0.72396,0.66477,0.88911,0.87607,1.43647,0.0087922,0.0087922,0.0087922
124,2115.73,0.59972,0.9202,1.21521,0.75697,0.71727,0.78661,0.66614,0.63485,0.89694,1.1193,1.44775,0.0087823,0.0087823,0.0087823
125,2132.64,0.60956,0.93034,1.21928,0.80876,0.76285,0.8332,0.72458,0.68697,0.84519,0.98556,1.41855,0.0087724,0.0087724,0.0087724
126,2149.54,0.61959,0.87625,1.23002,0.77484,0.78943,0.80837,0.70257,0.6613,0.8629,1.03499,1.44572,0.0087625,0.0087625,0.0087625
127,2166.51,0.61488,0.91071,1.22988,0.72989,0.8343,0.84314,0.72601,0.68084,0.87008,0.92446,1.439,0.0087526,0.0087526,0.0087526
128,2183.26,0.60934,0.90295,1.22824,0.7644,0.77636,0.8316,0.71995,0.68848,0.82881,1.04083,1.35383,0.0087427,0.0087427,0.0087427
129,2200.17,0.60699,0.92191,1.22263,0.79961,0.7534,0.82285,0.69845,0.6641,0.92857,0.98513,1.4648,0.0087328,0.0087328,0.0087328
130,2217.02,0.62397,0.95194,1.24073,0.70189,0.79792,0.80989,0.72114,0.67097,0.85805,1.15022,1.40954,0.0087229,0.0087229,0.0087229
131,2233.98,0.59532,0.88934,1.22068,0.78757,0.77444,0.81466,0.7089,0.66563,0.88119,1.06795,1.446,0.008713,0.008713,0.008713
